file,svmr_result,cpalasso_result,cpalasso_cost_time,Ultimate0122_result,Ultimate_timecost,loop_condition_variables_count,array_operator,lines,has_break,ET+cpalasso,ET+Ultimate
GulwaniJainKoskinen-PLDI2009-Fig1_true-termination-version2.c,Unknown,FAILED,306.3,Terminate,5.59,2,FALSE,20,FALSE,Other,Terminate
GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c,Unknown,FAILED,306.52,TIMEOUT,300.04,2,FALSE,20,FALSE,Other,Other
HeizmannHoenickeLeikePodelski-ATVA2013-Fig2_true-termination-version.c,Terminate,Terminate,3.37,Terminate,4.27,1,FALSE,13,FALSE,Terminate,Terminate
HeizmannHoenickeLeikePodelski-ATVA2013-Fig2_true-termination.c,Unknown,Terminate,5.53,Unknown,5.01,1,FALSE,11,FALSE,Terminate,Other
HeizmannHoenickeLeikePodelski-ATVA2013-Fig5_true-termination_true-no-overflow-version.c,Unknown,Unknown,2.38,Unknown,6.65,1,FALSE,12,FALSE,Other,Other
HeizmannHoenickeLeikePodelski-ATVA2013-Fig5_true-termination_true-no-overflow.c,Unknown,Unknown,2.54,Unknown,6.32,1,FALSE,11,FALSE,Other,Other
HeizmannHoenickeLeikePodelski-ATVA2013-Fig8_true-termination-version.c,Terminate,Unknown,1.37,Terminate,3.81,1,FALSE,14,FALSE,Terminate,Terminate
HeizmannHoenickeLeikePodelski-ATVA2013-Fig8_true-termination.c,Terminate,Unknown,1.42,Terminate,3.88,1,FALSE,13,FALSE,Terminate,Terminate
HeizmannHoenickeLeikePodelski-ATVA2013-Fig9_true-termination-version.c,Terminate,Unknown,1.39,Terminate,4.15,1,FALSE,15,FALSE,Terminate,Terminate
HeizmannHoenickeLeikePodelski-ATVA2013-Fig9_true-termination.c,Terminate,Unknown,1.43,Terminate,5.04,2,FALSE,14,FALSE,Terminate,Terminate
Lobnya-Boolean-Reordered_true-termination_true-valid-memsafety.c,Unknown,Unknown,1.82,Terminate,3.9,1,FALSE,19,FALSE,Other,Terminate
Masse-VMCAI2014-Fig1a_true-termination.c,Failed,Unknown,1.56,Terminate,4.21,1,FALSE,16,FALSE,Other,Terminate
Masse-VMCAI2014-Fig1b_true-termination-version-1.c,Unknown,Unknown,1.39,Unknown,5.84,1,FALSE,16,FALSE,Other,Other
Masse-VMCAI2014-Fig1b_true-termination-version-2.c,Unknown,Unknown,1.38,Unknown,6.32,1,FALSE,18,FALSE,Other,Other
Masse-VMCAI2014-Fig1b_true-termination.c,Unknown,Unknown,1.53,Unknown,5.76,1,FALSE,14,FALSE,Other,Other
McCarthyIterative_true-termination_true-no-overflow.c,Unknown,Terminate,5.32,Terminate,5.64,1,FALSE,20,FALSE,Terminate,Terminate
MenloPark_true-no-overflow_true-termination_true-valid-memsafety-modif.c,Unknown,Terminate,1.62,Terminate,3.85,1,FALSE,18,FALSE,Terminate,Terminate
MenloPark_true-no-overflow_true-termination_true-valid-memsafety.c,Unknown,Terminate,1.79,Terminate,3.86,1,FALSE,15,FALSE,Terminate,Terminate
Mysore_false-no-overflow.c,Terminate,Terminate,1.42,Terminate,3.79,2,FALSE,15,FALSE,Terminate,Terminate
NoriSharma-2013FSE-Fig8-true-termination-modif.c,Unknown,Terminate,3.53,Terminate,4.31,2,FALSE,16,FALSE,Terminate,Terminate
NoriSharma-2013FSE-Fig8-true-termination.c,Unknown,Terminate,1.69,Terminate,4.05,2,FALSE,16,FALSE,Terminate,Terminate
Nyala-2lex_true-no-overflow_true-termination_true-valid-memsafety-version.c,Terminate,Unknown,1.38,Terminate,4.39,2,FALSE,15,FALSE,Terminate,Terminate
Nyala-2lex_true-no-overflow_true-termination_true-valid-memsafety.c,Terminate,Terminate,1.64,Terminate,4.06,2,FALSE,15,FALSE,Terminate,Terminate
Parallel_true-no-overflow_true-termination_true-valid-memsafety.c,Terminate,Terminate,1.54,Terminate,3.91,2,FALSE,16,FALSE,Terminate,Terminate
Piecewise_true-no-overflow_true-termination_true-valid-memsafety.c,Terminate,Terminate,1.66,Terminate,4.79,2,FALSE,18,FALSE,Terminate,Terminate
