pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result
629713376,C/Stroeder_15/Cairo_true-termination.c,17270893,AProVE23,45560,c,749009,complete,8.232454,2.904814410954714,0.0,YES
629713377,C/Stroeder_15/Cairo_true-termination.c,17270893,UltimateAutomizer2023,47463,default,790100,complete,22.546168,14.481063876999542,0.0,YES
629713124,C/Stroeder_15/ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_true-termination.c,17270640,AProVE23,45560,c,749009,complete,130.534188,37.76215029298328,0.0,YES
629713380,C/Stroeder_15/ChawdharyCookGulwaniSagivYang-ESOP2008-aaron1_true-termination.c,17270897,AProVE23,45560,c,749009,complete,52.903269,14.988994765095413,0.0,YES
629713381,C/Stroeder_15/ChawdharyCookGulwaniSagivYang-ESOP2008-aaron1_true-termination.c,17270897,UltimateAutomizer2023,47463,default,790100,complete,28.318614,12.562043548095971,0.0,YES
629713588,C/Stroeder_15/ChawdharyCookGulwaniSagivYang-ESOP2008-aaron4_true-termination.c,17271099,AProVE23,45560,c,749009,complete,89.109063,28.15514882421121,0.0,YES
629713589,C/Stroeder_15/ChawdharyCookGulwaniSagivYang-ESOP2008-aaron4_true-termination.c,17271099,UltimateAutomizer2023,47463,default,790100,complete,48.705638,26.789992918027565,0.0,YES
629713464,C/Stroeder_15/ChawdharyCookGulwaniSagivYang-ESOP2008-aaron6_true-termination.c,17270975,AProVE23,45560,c,749009,complete,45.59114,25.12426469894126,0.0,YES
629713465,C/Stroeder_15/ChawdharyCookGulwaniSagivYang-ESOP2008-aaron6_true-termination.c,17270975,UltimateAutomizer2023,47463,default,790100,complete,22.927725,9.899684157921,0.0,YES
629713042,C/Stroeder_15/ChawdharyCookGulwaniSagivYang-ESOP2008-random1d_true-termination.c,17270558,AProVE23,45560,c,749009,complete,27.715557,9.010885905940086,0.0,YES
629713043,C/Stroeder_15/ChawdharyCookGulwaniSagivYang-ESOP2008-random1d_true-termination.c,17270558,UltimateAutomizer2023,47463,default,790100,complete,23.692477,11.578892369987445,0.0,YES
629713250,C/Stroeder_15/ChawdharyCookGulwaniSagivYang-ESOP2008-random2d_true-termination.c,17270767,AProVE23,45560,c,749009,complete,56.764127,24.44448352302425,0.0,YES
629713251,C/Stroeder_15/ChawdharyCookGulwaniSagivYang-ESOP2008-random2d_true-termination.c,17270767,UltimateAutomizer2023,47463,default,790100,complete,22.403983,9.427767370827496,0.0,YES
629713562,C/Stroeder_15/ChenCookFuhsNimkarOHearn-TACAS2014-Introduction_false-termination.c,17271073,AProVE23,45560,c,749009,complete,11.819566,4.033263218123466,0.0,NO
629713563,C/Stroeder_15/ChenCookFuhsNimkarOHearn-TACAS2014-Introduction_false-termination.c,17271073,UltimateAutomizer2023,47463,default,790100,complete,21.522549,8.453218943905085,0.0,NO
629713160,C/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex1.01_true-termination.c,17270677,AProVE23,45560,c,749009,complete,43.121588,12.835864210966974,0.0,YES
629713440,C/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex1.02_true-termination.c,17270951,AProVE23,45560,c,749009,complete,11.295258,3.705067832022905,0.0,YES
629713441,C/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex1.02_true-termination.c,17270951,UltimateAutomizer2023,47463,default,790100,complete,22.190136,10.23641888401471,0.0,YES
629713344,C/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex1.03_true-termination.c,17270861,AProVE23,45560,c,749009,complete,5.625953,2.181468745926395,0.0,YES
629713345,C/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex1.03_true-termination.c,17270861,UltimateAutomizer2023,47463,default,790100,complete,21.147799,8.796093605924398,0.0,YES
629713260,C/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex1.04_true-termination.c,17270776,AProVE23,45560,c,749009,complete,8.953344,3.164819784928113,0.0,YES
629713261,C/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex1.04_true-termination.c,17270776,UltimateAutomizer2023,47463,default,790100,complete,20.795522,8.756702343001962,0.0,YES
629713478,C/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex1.05_true-termination.c,17270988,AProVE23,45560,c,749009,complete,9.130483,3.071116236038506,0.0,YES
629713479,C/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex1.05_true-termination.c,17270988,UltimateAutomizer2023,47463,default,790100,complete,21.569773,8.840837812051177,0.0,YES
629713624,C/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.01_true-termination.c,17271135,AProVE23,45560,c,749009,complete,16.744877,5.099612009013072,0.0,YES
629713625,C/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.01_true-termination.c,17271135,UltimateAutomizer2023,47463,default,790100,complete,21.450827,8.972617071121931,0.0,YES
629713062,C/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.02_false-termination.c,17270578,AProVE23,45560,c,749009,complete,38.013663,13.234990612138064,0.0,NO
629713063,C/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.02_false-termination.c,17270578,UltimateAutomizer2023,47463,default,790100,complete,21.611778,9.436038062907755,0.0,NO
629713476,C/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.03_false-termination.c,17270986,AProVE23,45560,c,749009,complete,14.451824,4.595114781986922,0.0,NO
629713477,C/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.03_false-termination.c,17270986,UltimateAutomizer2023,47463,default,790100,complete,19.40033,8.088673783000559,0.0,NO
629713460,C/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.04_false-termination.c,17270971,AProVE23,45560,c,749009,complete,14.638186,4.895007953047752,0.0,NO
629713461,C/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.04_false-termination.c,17270971,UltimateAutomizer2023,47463,default,790100,complete,18.979508,7.995275809895247,0.0,NO
629713174,C/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.07_true-termination.c,17270691,AProVE23,45560,c,749009,complete,11.006891,3.690884402953088,0.0,YES
629713175,C/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.07_true-termination.c,17270691,UltimateAutomizer2023,47463,default,790100,complete,21.304489,9.038022644119335,0.0,YES
629713400,C/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.08_true-termination.c,17270914,AProVE23,45560,c,749009,complete,16.906651,5.169968937989324,0.0,YES
629713401,C/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.08_true-termination.c,17270914,UltimateAutomizer2023,47463,default,790100,complete,21.130591,11.857873181113971,0.0,YES
629713294,C/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.09_true-termination.c,17270809,AProVE23,45560,c,749009,complete,24.722898,7.277018731925636,0.0,YES
629713295,C/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.09_true-termination.c,17270809,UltimateAutomizer2023,47463,default,790100,complete,22.689153,9.787743858993052,0.0,YES
629713468,C/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.10_true-termination.c,17270978,AProVE23,45560,c,749009,complete,11.384028,3.736123960930854,0.0,YES
629713469,C/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.10_true-termination.c,17270978,UltimateAutomizer2023,47463,default,790100,complete,21.212063,8.759983832016587,0.0,YES
