file,result_lasso,error1,rf_lasso,out_lasso,result_general,error2,rf_general,out_general,cost_time_lasso,cost_time_general,path
"Fibonacci03.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Fibonacci03.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Fibonacci03.c_general_out",1.21,2.16,"Datasets/Loopy_dataset_InvarBenchmark/recursive_functions/sv-benchmarks/recursive/Fibonacci03.c"
"gcd01-1.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/gcd01-1.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/gcd01-1.c_general_out",1.20,281.28,"Datasets/Loopy_dataset_InvarBenchmark/recursive_functions/sv-benchmarks/recursive/gcd01-1.c"
"EvenOdd01-1.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/EvenOdd01-1.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/EvenOdd01-1.c_general_out",1.20,280.93,"Datasets/Loopy_dataset_InvarBenchmark/recursive_functions/sv-benchmarks/recursive/EvenOdd01-1.c"
"recHanoi02-2.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/recHanoi02-2.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/recHanoi02-2.c_general_out",1.21,281.20,"Datasets/Loopy_dataset_InvarBenchmark/recursive_functions/sv-benchmarks/recursive/recHanoi02-2.c"
"recHanoi01.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/recHanoi01.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/recHanoi01.c_general_out",1.20,1.35,"Datasets/Loopy_dataset_InvarBenchmark/recursive_functions/sv-benchmarks/recursive/recHanoi01.c"
"Ackermann01-2.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Ackermann01-2.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Ackermann01-2.c_general_out",1.22,2.76,"Datasets/Loopy_dataset_InvarBenchmark/recursive_functions/sv-benchmarks/recursive/Ackermann01-2.c"
"Fibonacci02.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Fibonacci02.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Fibonacci02.c_general_out",1.20,1.97,"Datasets/Loopy_dataset_InvarBenchmark/recursive_functions/sv-benchmarks/recursive/Fibonacci02.c"
"MultCommutative-2.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/MultCommutative-2.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/MultCommutative-2.c_general_out",1.17,279.39,"Datasets/Loopy_dataset_InvarBenchmark/recursive_functions/sv-benchmarks/recursive/MultCommutative-2.c"
"gcd02.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/gcd02.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/gcd02.c_general_out",1.23,1.39,"Datasets/Loopy_dataset_InvarBenchmark/recursive_functions/sv-benchmarks/recursive/gcd02.c"
"Fibonacci01-1.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Fibonacci01-1.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Fibonacci01-1.c_general_out",1.22,2.13,"Datasets/Loopy_dataset_InvarBenchmark/recursive_functions/sv-benchmarks/recursive/Fibonacci01-1.c"
"Primes.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Primes.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Primes.c_general_out",1.19,1.36,"Datasets/Loopy_dataset_InvarBenchmark/recursive_functions/sv-benchmarks/recursive/Primes.c"
"Ackermann03.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Ackermann03.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Ackermann03.c_general_out",1.20,2.73,"Datasets/Loopy_dataset_InvarBenchmark/recursive_functions/sv-benchmarks/recursive/Ackermann03.c"
"McCarthy91-2.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/McCarthy91-2.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/McCarthy91-2.c_general_out",1.19,274.55,"Datasets/Loopy_dataset_InvarBenchmark/recursive_functions/sv-benchmarks/recursive/McCarthy91-2.c"
