config,file_name,benchmark_name,generated,extraction_success,invariants_found,template_type,verified
Full (Inv + Extract),Nyala-2lex_true-no-overflow_true-termination_true-valid-memsafety_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,Nyala-2lex_true-no-overflow_true-termination_true-valid-memsafety,True,False,True,lnested,TERMINATE
Full (Inv + Extract),Parallel_true-no-overflow_true-termination_true-valid-memsafety_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,Parallel_true-no-overflow_true-termination_true-valid-memsafety,True,False,True,lnested,UNKNOWN
Full (Inv + Extract),Piecewise_true-no-overflow_true-termination_true-valid-memsafety_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,Piecewise_true-no-overflow_true-termination_true-valid-memsafety,True,False,True,lmulti,TERMINATE
Full (Inv + Extract),PodelskiRybalchenko-LICS2004-Fig2_true-termination-modif1_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,PodelskiRybalchenko-LICS2004-Fig2_true-termination-modif1,True,False,True,lnested,UNKNOWN
Full (Inv + Extract),PodelskiRybalchenko-LICS2004-Fig2_true-termination-modif2_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,PodelskiRybalchenko-LICS2004-Fig2_true-termination-modif2,True,False,True,lnested,UNKNOWN
Full (Inv + Extract),PodelskiRybalchenko-LICS2004-Fig2_true-termination-simpl_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,PodelskiRybalchenko-LICS2004-Fig2_true-termination-simpl,True,False,True,lnested,N/A
Full (Inv + Extract),PodelskiRybalchenko-LICS2004-Fig2_true-termination_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,PodelskiRybalchenko-LICS2004-Fig2_true-termination,True,False,True,lnested,UNKNOWN
Full (Inv + Extract),PodelskiRybalchenko-simpl1_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,PodelskiRybalchenko-simpl1,True,False,True,lnested,ERROR
Full (Inv + Extract),PodelskiRybalchenko-simpl2_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,PodelskiRybalchenko-simpl2,True,False,True,lnested,UNKNOWN
Full (Inv + Extract),PodelskiRybalchenko-simpl3_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,PodelskiRybalchenko-simpl3,True,False,True,lmulti,UNKNOWN
Full (Inv + Extract),PodelskiRybalchenko-TACAS2011-Fig4_true-termination_true-no-overflow_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,PodelskiRybalchenko-TACAS2011-Fig4_true-termination_true-no-overflow,True,False,True,lnested,TERMINATE
Full (Inv + Extract),PodelskiRybalchenko-VMCAI2004-Ex1_false-no-overflow-version_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,PodelskiRybalchenko-VMCAI2004-Ex1_false-no-overflow-version,True,False,True,lnested,UNKNOWN
