file,result_2ls_TPDB_copy1,time_taken_2ls_TPDB_copy1,result_2ls_TPDB_copy2,time_taken_2ls_TPDB_copy2,result_2ls_TPDB_copy3,time_taken_2ls_TPDB_copy3,consistency
TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_easySum.c,YES,0.24,YES,0.24,YES,0.24,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex3.01_true-termination.c,YES,0.17,YES,0.21,YES,0.22,True
TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_b.04.c,YES,0.15,YES,0.16,YES,0.16,True
TPDB_Y2024_filtered_VBS/Stroeder_15/GulavaniGulwani-CAV2008-Fig1c_true-termination.c,YES,0.15,YES,0.19,YES,0.2,True
TPDB_Y2024_filtered_VBS/Stroeder_15/gcd1_true-termination.c,YES,0.45,YES,0.45,YES,0.46,True
TPDB_Y2024_filtered_VBS/Stroeder_15/NoriSharma-FSE2013-Fig7_true-termination.c,Maybe,8.89,Maybe,9.6,Maybe,9.72,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex3.05_true-termination.c,Maybe,0.68,Maybe,0.67,Maybe,0.68,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ColonSipma-TACAS2001-Fig1_true-termination.c,YES,0.34,YES,0.23,YES,0.33,True
TPDB_Y2024_filtered_VBS/Stroeder_15/GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c,Maybe,1.0,Maybe,0.99,Maybe,0.92,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex1.05_true-termination.c,Maybe,0.42,Maybe,0.29,Maybe,0.43,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Masse-VMCAI2014-Ex6_true-termination.c,YES,0.23,YES,0.24,YES,0.2,True
