file,SVMRresult,svmr_statuses,result_2ls,2ls_time,irank_result,irank_time,cpalasso25_result,cpalasso25_time,cpageneral25_result,cpageneral25_time,cpalasso260122result,cpalasso260122time,cpageneral260122result,cpageneral260122time,AProVEonline24,Ultimate-online,AProVEonline25,MuVal-online,Ultimate260122_result,Ultimate260122_time_taken,ET+CPAlasso25,loop_type,loops_count,loops_depth,loop_condition_variables_count,has_break,loop_condition_always_true,initial_sat_condition,array_operator,pointer_operator,lines,language,program_type,recur_type,SVMR_is_term,CPA_is_term,Combo_is_term
NoriSharma-FSE2013-Fig7_true-termination.c,Unknown,Unknown,Unknown,8.89,Terminate,2.538049698,Terminate,3.72,Unknown,265.97,Terminate,1.69,Terminate,1.77,Terminate,Terminate,Terminate,Terminate,Terminate,4.22,Terminate,Linear,1,1,4,False,False,True,False,False,29,C,loop,,False,True,True
ChawdharyCookGulwaniSagivYang-ESOP2008-random2d_true-termination.c,failed,Failed,Terminate,0.31,Terminate,41.74072981,Terminate,2.84,Terminate,3.14,Terminate,1.68,Terminate,1.68,Terminate,Terminate,Terminate,Terminate,Terminate,3.88,Terminate,Linear,1,1,2,False,False,True,False,True,35,C,loop,,False,True,True
svcomp_min_rf_true-alloca.c,failed,Failed,Failed,0.24,Failed,0.471168995,Unknown,2.95,Unknown,3.08,Unknown,1.83,Nonterminate,1.62,Terminate,timeout,Terminate,Terminate,Failed,117.38,Unknown,Linear,1,1,2,False,False,True,False,True,18,C,loop,,False,False,False
AliasDarteFeautrierGonnord-SAS2010-rsd_true-termination.c,Unknown,Unknown,Unknown,1.25,Terminate,6.976073265,Terminate,24.69,Terminate,4.63,Terminate,12.99,Terminate,13.04,Terminate,Terminate,Terminate,Terminate,Terminate,4.72,Terminate,Linear,1,1,2,False,False,True,False,True,28,C,loop,,False,True,True
svcomp_b.13.c,failed,Failed,Terminate,0.27,Terminate,17.28842139,Terminate,2.64,Terminate,3.26,Terminate,1.66,Terminate,1.74,Terminate,Terminate,Terminate,Terminate,Terminate,4.13,Terminate,Linear,1,1,2,False,False,True,False,False,23,C,loop,,False,True,True
svcomp_c.03.c,failed,Failed,Terminate,0.21,Terminate,1.885166883,Terminate,2.67,Terminate,3.79,Terminate,1.68,Terminate,1.82,Terminate,Terminate,Terminate,Terminate,Terminate,5.24,Terminate,Linear,1,1,2,False,False,True,False,False,21,C,loop,,False,True,True
Pure2Phase_true-termination.c,Unknown,Unknown,Unknown,0.48,Terminate,2.713484049,Terminate,3.35,Terminate,3.85,Terminate,1.51,Terminate,1.66,Terminate,Terminate,Terminate,Terminate,Terminate,4.65,Terminate,Linear,1,1,1,False,False,True,False,False,28,C,loop,,False,True,True
Cairo_true-termination.c,Unknown,Unknown,Unknown,0.35,Unknown,3.622193575,Terminate,2.89,Terminate,3.33,Terminate,1.47,Terminate,1.49,Terminate,Terminate,Terminate,Terminate,Terminate,3.93,Terminate,Linear,1,1,1,False,False,True,False,False,24,C,loop,,False,True,True
MinusMin.c,Unknown,Unknown,Failed,300.05,Terminate,1.683344364,Terminate,2.41,Terminate,3.22,Terminate,1.52,Terminate,1.6,Terminate,Terminate,Terminate,Terminate,Terminate,4.79,Terminate,Linear,1,1,2,False,False,True,False,False,25,C,loop,,False,True,True
ChenFlurMukhopadhyay-SAS2012-Ex3.09_true-termination.c,failed,Failed,Unknown,9.23,Terminate,1.758789063,Unknown,3.05,Unknown,3.73,Unknown,1.47,Nonterminate,1.27,Terminate,Terminate,Terminate,Terminate,Terminate,3.85,Unknown,Linear,1,1,2,True,False,True,False,True,33,C,loop,,False,False,False
svcomp_a.07-alloca.c,Unknown,Unknown,Failed,0.24,Failed,0.486578941,Unknown,4.88,Unknown,4.34,Unknown,2.37,Unknown,289.28,Terminate,Terminate,Terminate,Terminate,Terminate,4.49,Unknown,Linear,1,1,2,False,False,True,False,True,25,C,loop,,False,False,False
Nyala-2lex_true-termination.c,Unknown,Unknown,Terminate,0.38,Terminate,4.262490988,Terminate,3.03,Terminate,3.43,Terminate,1.49,Nonterminate,1.23,Terminate,Terminate,Terminate,Terminate,Terminate,4.21,Terminate,Linear,1,1,1,True,False,True,False,False,26,C,loop,,False,True,True
ChenFlurMukhopadhyay-SAS2012-Ex3.10_true-termination.c,Unknown,Unknown,Terminate,0.62,Terminate,1.536236048,Terminate,2.88,Terminate,3.46,Terminate,1.46,Terminate,1.49,Terminate,Terminate,Terminate,Terminate,Terminate,3.81,Terminate,Linear,1,1,2,False,False,True,False,True,32,C,loop,,False,True,True
svcomp_ex1-alloca.c,failed,Failed,Failed,0.25,Failed,0.43419981,Unknown,3.89,Unknown,4.11,Unknown,1.84,Nonterminate,1.43,Terminate,Terminate,Terminate,Terminate,Terminate,4.42,Unknown,Linear,1,1,1,False,False,True,False,True,23,C,loop,,False,False,False
ChenFlurMukhopadhyay-SAS2012-Ex3.05_true-termination.c,Unknown,Unknown,Unknown,0.68,Terminate,2.065848589,Unknown,4.43,Terminate,6.37,Unknown,2.08,Unknown,263.75,Terminate,Terminate,Terminate,Terminate,Terminate,3.86,Unknown,Linear,1,1,2,False,False,True,False,True,29,C,loop,,False,True,True
PastaA9.c,Unknown,Unknown,Unknown,0.38,Terminate,1.120831013,Unknown,2.25,Unknown,2.42,Unknown,1.39,Nonterminate,1.28,Terminate,Terminate,Terminate,Terminate,Terminate,3.86,Unknown,Linear,1,1,2,False,False,True,False,False,20,C,loop,,False,False,False
svcomp_b.09-no-inv_assume-alloca.c,failed,Failed,Failed,0.24,Failed,0.474568605,Unknown,3.85,Unknown,4.11,Unknown,1.98,Unknown,291.57,Terminate,Terminate,Terminate,Terminate,Unknown,36.27,Unknown,Linear,1,1,1,False,False,True,False,True,30,C,loop,,False,False,False
ChenFlurMukhopadhyay-SAS2012-Ex2.20_true-termination.c,failed,Failed,Terminate,0.26,Terminate,1.950015068,Terminate,2.94,Terminate,3.4,Terminate,1.44,Terminate,1.5,Terminate,Terminate,Terminate,Terminate,Terminate,3.72,Terminate,Linear,1,1,2,True,False,True,False,False,31,C,loop,,False,True,True
diskperf_simpl1_true-unreach-call_true-termination.cil.c,Unknown,Unknown,Unknown,0.85,Failed,300.0,Terminate,9.89,Terminate,16.05,Terminate,4.62,Terminate,5.04,timeout,timeout,timeout,Terminate,Terminate,8.6,Terminate,Linear,1,1,0,False,True,True,False,True,1453,C,loop,,False,True,True
svcomp_a.10-alloca.c,Unknown,Unknown,Failed,0.19,Failed,0.479483843,Unknown,3.37,Unknown,3.25,Unknown,1.8,Unknown,292.58,timeout,Terminate,timeout,Terminate,Terminate,19.89,Unknown,Linear,1,1,2,False,False,True,False,True,26,C,loop,,False,False,False
Gothenburg_v2_true-termination.c,Unknown,Unknown,Terminate,0.27,Terminate,2.499520063,Terminate,3.27,Terminate,3.72,Terminate,1.54,Terminate,1.55,timeout,Terminate,timeout,Terminate,Unknown,8.62,Terminate,Linear,1,1,2,False,False,False,False,True,25,C,loop,,False,True,True
PodelskiRybalchenko-VMCAI2004-Ex1_true-termination.c,failed,Failed,Unknown,4.26,Terminate,3.321290493,Terminate,3.24,Terminate,3.83,Terminate,1.54,Nonterminate,1.28,Terminate,Terminate,Terminate,Terminate,Terminate,4.47,Terminate,Linear,1,1,2,False,False,True,False,False,32,C,loop,,False,True,True
svcomp_b.09-no-inv_assume.c,failed,Failed,Unknown,5.88,Unknown,8.018001556,Terminate,2.81,Terminate,3.55,Terminate,1.52,Terminate,1.55,Terminate,Terminate,Terminate,Terminate,Terminate,5.22,Terminate,Linear,1,1,1,False,False,True,False,False,23,C,loop,,False,True,True
svcomp_a.06.c,failed,Failed,Failed,300.11,Terminate,1.411432266,Terminate,2.3,Terminate,3.48,Terminate,1.47,Terminate,1.51,Terminate,Terminate,Terminate,Terminate,Terminate,3.84,Terminate,Linear,1,1,3,False,False,True,False,False,16,C,loop,,False,True,True
Pure3Phase_true-termination.c,failed,Failed,Unknown,1.47,Unknown,85.11010146,Failed,299.51,Unknown,293.9,Failed,306.37,Unknown,152.58,Terminate,timeout,Terminate,Terminate,Terminate,4.56,Failed,Linear,1,1,1,False,False,True,False,False,30,C,loop,,False,False,False
ChenFlurMukhopadhyay-SAS2012-Ex2.16_true-termination.c,failed,Failed,Unknown,0.54,Terminate,1.541995525,Unknown,4.9,Unknown,6.69,Unknown,2.07,Unknown,267.86,Terminate,Terminate,Terminate,Terminate,Terminate,3.67,Unknown,Linear,1,1,1,False,False,True,False,False,28,C,loop,,False,False,False
