file,SVMRresult,svmr_statuses,result_2ls,2ls_time,irank_result,irank_time,cpalasso25_result,cpalasso25_time,cpageneral25_result,cpageneral25_time,cpalasso260122result,cpalasso260122time,cpageneral260122result,cpageneral260122time,AProVEonline24,Ultimate-online,AProVEonline25,MuVal-online,Ultimate260122_result,Ultimate260122_time_taken,ET+CPAlasso25,loop_type,loops_count,loops_depth,loop_condition_variables_count,has_break,loop_condition_always_true,initial_sat_condition,array_operator,pointer_operator,lines,language,program_type,recur_type
CookSeeZuleger-TACAS2013-Fig8a_true-termination.c,Terminate,TERMINATE,Unknown,0.13,Terminate,4.528115749,Terminate,3.08,Terminate,3.6,Terminate,1.84,Terminate,1.69,Terminate,Terminate,Terminate,Terminate,Terminate,5.32,Terminate,Linear,1,1,1,False,False,True,False,False,24,C,loop,
ChenFlurMukhopadhyay-SAS2012-Ex3.07_true-termination.c,failed,Failed,Terminate,0.53,Terminate,2.187636614,Terminate,4.88,Terminate,3.42,Terminate,2.28,Terminate,2.70,Terminate,Terminate,Terminate,Terminate,Terminate,4.05,Terminate,Linear,1,1,1,False,False,True,False,False,33,C,loop,
svcomp_mult_array_alloca.c,Unknown,Unknown,Failed,0.19,Failed,0.46764493,Unknown,4.0,Unknown,4.17,Unknown,2.29,Unknown,266.51,Unknown,MAYBE,Unknown,Terminate,Unknown,11.95,Unknown,Multiple,2,1,4,False,False,True,True,True,20,C,loop,
BrockschmidtCookFuhs-CAV2013-Introduction_true-termination.c,failed,Failed,Unknown,0.83,Terminate,1.605215311,Terminate,2.81,Terminate,3.27,Terminate,1.71,Terminate,1.48,Terminate,Terminate,Terminate,Terminate,Terminate,3.88,Terminate,Linear,1,1,1,False,False,True,False,False,23,C,loop,
HeizmannHoenickeLeikePodelski-ATVA2013-Fig7_true-termination.c,failed,Failed,Unknown,0.25,Unknown,6.331309319,Unknown,2.31,Unknown,2.66,Unknown,1.29,Nonterminate,1.31,Terminate,Unknown,Terminate,Terminate,Terminate,3.84,Unknown,Linear,1,1,2,True,False,True,True,False,26,C,loop,
svcomp_a.09_assume-alloca.c,Unknown,Unknown,Failed,0.24,Failed,0.471039534,Unknown,3.91,Unknown,4.16,Unknown,2.45,Nonterminate,1.75,Terminate,Terminate,Terminate,Terminate,Terminate,4.25,Unknown,Linear,1,1,2,False,False,True,False,True,29,C,loop,
svcomp_b.14.c,Terminate,TERMINATE,Terminate,0.62,Terminate,2.049182177,Terminate,3.47,Terminate,4.08,Terminate,1.65,Terminate,2.17,Terminate,Terminate,Terminate,Terminate,Terminate,4.08,Terminate,Nested,2,2,2,False,False,True,False,True,18,C,loop,
CookSeeZuleger-TACAS2013-Fig7b_true-termination.c,Unknown,Unknown,Terminate,0.36,Terminate,102.230557,Terminate,4.41,Terminate,6.1,Terminate,2.32,Terminate,2.45,Terminate,Terminate,Terminate,timeout,Terminate,5.38,Terminate,Linear,1,1,3,False,False,True,False,True,28,C,loop,
svcomp_openbsd_cstrpbrk_alloca.c,Unknown,Unknown,Failed,0.24,Failed,0.344490767,Unknown,3.01,Unknown,3.4,Unknown,1.83,Unknown,272.87,Terminate,Unknown,Terminate,timeout,Unknown,10.16,Unknown,Nested,2,2,4,False,False,True,True,True,43,C,loop,
afterrec_2calls_false-unreach-call.c,,,Unknown,0.09,Failed,0.434861183,Unknown,2.09,Failed,2.15,Unknown,1.21,Unknown,2.27,Terminate,Unknown,Terminate,Failed,Terminate,3.86,Unknown,,0,0,0,False,False,True,False,False,22,C,recur,non-tail
svcomp_twisted-alloca.c,failed,Failed,Failed,0.25,Failed,0.351254463,Unknown,6.22,Unknown,6.53,Unknown,3.28,Unknown,260.21,Terminate,Terminate,Terminate,Terminate,Terminate,19.24,Unknown,Multiple,2,1,3,False,False,True,False,True,34,C,loop,
ChawdharyCookGulwaniSagivYang-ESOP2008-aaron6_true-termination.c,Unknown,Unknown,Unknown,2.26,Terminate,8.775921345,Terminate,2.72,Terminate,4.94,Terminate,1.61,Nonterminate,1.31,Terminate,Terminate,Terminate,Terminate,Terminate,3.92,Terminate,Linear,1,1,5,False,False,True,False,True,31,C,loop,
svcomp_a.06-alloca.c,Unknown,Unknown,Failed,0.25,Failed,0.483912468,Unknown,3.79,Unknown,4.78,Unknown,2.53,Unknown,289.06,Terminate,Terminate,Terminate,Terminate,Terminate,4.23,Unknown,Linear,1,1,3,False,False,True,False,True,25,C,loop,
svcomp_java_Nested.c,failed,"ERROR,TERMINATE",Terminate,0.6,Terminate,2.028608322,Terminate,4.52,Terminate,5.22,Terminate,2.04,Terminate,1.86,Terminate,Terminate,Terminate,Terminate,Terminate,4.84,Terminate,Multiple,2,1,2,False,False,True,False,False,10,C,loop,
PastaB7.c,Unknown,Unknown,Terminate,0.11,Terminate,1.312035322,Terminate,2.91,Terminate,3.56,Terminate,1.41,Terminate,1.47,Terminate,Terminate,Terminate,Terminate,Terminate,3.75,Terminate,Linear,1,1,3,False,False,True,False,True,19,C,loop,
svcomp_b.06.c,Unknown,Unknown,Terminate,0.27,Terminate,1.271632433,Terminate,2.79,Terminate,3.58,Terminate,1.41,Terminate,1.54,Terminate,Terminate,Terminate,Terminate,Terminate,3.81,Terminate,Linear,1,1,1,False,False,True,False,True,16,C,loop,
rec_counter3.c,failed,Failed,Unknown,0.24,Failed,0.441800833,Unknown,2.2,Unknown,2.24,Unknown,1.06,Unknown,1.16,Terminate,Terminate,Terminate,Failed,Terminate,4.88,Unknown,Multiple,2,1,2,False,False,True,False,False,24,C,loop,non-tail
svcomp_cstrspn_true_alloca.c,failed,Failed,Failed,0.25,Failed,0.340161085,Unknown,3.9,Unknown,4.16,Unknown,1.77,Unknown,266.73,Terminate,Unknown,Terminate,timeout,Unknown,11.4,Unknown,Nested,2,2,3,False,False,True,True,True,41,C,loop,
svcomp_BrockschmidtCookFuhs-2013CAV-Fig1_true-alloca.c,Unknown,Unknown,Failed,0.25,Failed,0.457106829,Unknown,3.78,Unknown,4.26,Unknown,2.07,Nonterminate,1.57,Terminate,Terminate,Terminate,Terminate,Terminate,7.84,Unknown,Nested,2,2,3,False,False,True,False,True,15,C,loop,
id_i10_o10_false-unreach-call.c,,,Terminate,0.18,Failed,0.444696665,Unknown,1.69,Failed,1.75,Unknown,1.07,Unknown,1.69,Terminate,Unknown,Terminate,Terminate,Terminate,4.74,Unknown,,0,0,0,False,False,True,False,False,15,C,recur,non-tail
